"name","geo","continent","date","year","total_vaccinations","people_vaccinated","people_fully_vaccinated","total_boosters","daily_vaccinations_raw","daily_vaccinations","total_vaccinations_per_hundred","people_vaccinated_per_hundred","people_fully_vaccinated_per_hundred","total_boosters_per_hundred","daily_vaccinations_per_million","daily_people_vaccinated","daily_people_vaccinated_per_hundred","population","income_per_person","gdp","growth_gdp_per_capita","life_expectancy",".cluster"
"Oman","omn","Asia",2021-12-16,2021,5934585,3120714,2889245,32412,NA,0,113.62,59.75,55.31,0.62,0,840,0.016,5223376,26274,137.238,4.43,77.99,"2"
"Pakistan","pak","Asia",2021-12-16,2021,138365328,86968178,59361468,NA,1245058,1007747,61.44,38.62,26.36,NA,4475,469760,0.209,225199929,4569,1029.01,2.06,67.48,"3"
"Palestine","pse","Asia",2021-12-06,2021,3184868,2020110,1403992,NA,NA,9115,60.98,38.68,26.88,NA,1745,4797,0.092,5222756,5578,29.135,4.53,77.51,"2"
"Panama","pan","America North",2021-12-18,2021,5723906,3020631,2455571,247704,7004,5652,130.64,68.94,56.04,5.65,1290,713,0.016,4381583,28130,123.255,3.61,80,"2"
"Papua New Guinea","png","Asia",2021-12-13,2021,498598,282571,216027,NA,NA,2418,5.47,3.1,2.37,NA,265,1016,0.011,9119005,4156,37.9,2.11,59.34,"3"
"Paraguay","pry","America South",2021-12-17,2021,6489760,3444261,2871213,174286,NA,23589,89.89,47.71,39.77,2.41,3267,4241,0.059,7219641,12718,91.816,2.6,76.6,"2"
"Peru","per","America South",2021-12-14,2021,45659047,23574494,20086571,1997982,130892,233117,136.87,70.67,60.21,5.99,6988,75556,0.226,33359416,12146,405.188,4.12,81.23,"2"
"Philippines","phl","Asia",2021-12-16,2021,100013599,NA,43024393,1014205,873996,739503,90.06,NA,38.74,0.91,6659,NA,NA,111046910,8371,929.584,4.91,70.25,"2"
"Poland","pol","Europe",2021-12-18,2021,45511239,21378003,20835654,5852573,176831,187315,120.41,56.56,55.13,15.48,4956,29505,0.078,37797000,33477,1265.331,4.65,78.71,"1"
"Portugal","prt","Europe",2021-12-17,2021,18626767,9053901,9047148,2252422,54687,60065,183.19,89.04,88.98,22.15,5907,0,0,10167923,33626,341.902,5.01,82.2,"1"
"Qatar","qat","Asia",2021-12-18,2021,5108730,NA,NA,NA,2836,7101,174.33,NA,NA,NA,2423,NA,NA,2930524,89352,261.85,3.35,80.73,NA
