"","name","geo","region","date","year","total_vaccinations","people_vaccinated","people_fully_vaccinated","total_boosters","daily_vaccinations_raw","daily_vaccinations","total_vaccinations_per_hundred","people_vaccinated_per_hundred","people_fully_vaccinated_per_hundred","total_boosters_per_hundred","daily_vaccinations_per_million","daily_people_vaccinated","daily_people_vaccinated_per_hundred","population","income_per_person","gdp","growth_gdp_per_capita","life_expectancy","calcul_vac_100hab","match"
"82","Guinea-Bissau","gnb","pays",2021-11-12,2021,NA,NA,NA,NA,NA,13387,NA,NA,NA,NA,6642,13096,0.65,2015490,1915,3859054011,1.74,61.31,NA,NA
"83","Guyana","guy","pays",2021-11-12,2021,648974,390110,258864,NA,2429,2069,82.11,49.36,32.75,NA,2618,739,0.094,790329,14119,11158740248,4.14,69.71,82.11,"Correct"
"84","Haiti","hti","pays",2021-11-12,2021,153182,104920,48603,NA,14852,2491,1.33,0.91,0.42,NA,216,1219,0.011,11541683,2758,31828523183,-0.2,66.29,1.33,"Correct"
"85","Honduras","hnd","pays",2021-11-12,2021,7584433,3957957,3622891,NA,NA,40615,75.37,39.33,36,NA,4036,15810,0.157,10062994,5318,53518742176,1.52,74.7,75.37,"Correct"
"86","Hong Kong, China","hkg","pays",2021-11-12,2021,9159569,4664383,4467405,NA,19873,11248,121.27,61.76,59.15,NA,1489,3974,0.053,7552800,58606,442639477320,3.22,84.72,121.27,"Correct"
"87","Hungary","hun","pays",2021-11-12,2021,NA,NA,NA,NA,NA,33693,NA,NA,NA,NA,3497,3514,0.036,9634162,32377,311929605621,5.93,77.47,NA,NA
"88","Iceland","isl","pays",2021-11-12,2021,NA,NA,NA,NA,NA,1103,NA,NA,NA,NA,3212,59,0.017,343360,51911,17824175938,2.01,83.31,NA,NA
"89","India","ind","pays",2021-11-12,2021,1111423316,749179463,362243853,NA,8647724,4804242,79.76,53.77,26,NA,3448,1369346,0.098,1393409033,6819,9500960586370,5.93,69.91,79.76,"Correct"
"90","Indonesia","idn","pays",2021-11-12,2021,211907880,129089388,82818492,NA,2049436,1485120,76.68,46.71,29.97,NA,5374,752170,0.272,276361788,11829,3269041936630,4.8,72.28,76.68,"Correct"
"91","Iran","irn","pays",2021-11-12,2021,NA,NA,NA,NA,NA,703580,NA,NA,NA,NA,8275,109945,0.129,85028760,12635,1074299482267,1.13,78.16,NA,NA
"92","Iraq","irq","pays",2021-11-12,2021,NA,NA,NA,NA,NA,97766,NA,NA,NA,NA,2374,55830,0.136,41179351,9314,383552326769,1.74,77.37,NA,NA
"93","Ireland","irl","pays",2021-11-12,2021,7760418,3836686,3768401,391825,27720,22450,155.74,77,75.63,7.86,4505,1224,0.025,4982904,90930,453093654115,3.85,82.61,155.74,"Correct"
"94","Isle of Man","imn","pays",2021-11-12,2021,132860,NA,64720,NA,NA,49,155.56,NA,75.78,NA,574,34,0.04,NA,NA,NA,NA,NA,NA,NA
"95","Israel","isr","pays",2021-11-12,2021,16037474,6259924,5757986,4019564,4173,6996,172.61,67.38,61.97,43.26,753,1224,0.013,8789776,39744,349336647408,2.39,83.59,182.46,"Incorrect"
"96","Italy","ita","pays",2021-11-12,2021,92069916,46846839,43659688,3059177,222365,183205,152.52,77.6,72.32,5.07,3035,18069,0.03,60367471,40378,2437506704811,3.69,83.79,152.52,"Correct"
"97","Jamaica","jam","pays",2021-11-12,2021,1031652,621048,468894,NA,7212,8464,34.7,20.89,15.77,NA,2847,2609,0.088,2973462,8872,26379759897,5.58,75.09,34.7,"Correct"
