"name","geo","region","continent","date","year","total_vaccinations","people_vaccinated","people_fully_vaccinated","total_boosters","daily_vaccinations_raw","daily_vaccinations","total_vaccinations_per_hundred","people_vaccinated_per_hundred","people_fully_vaccinated_per_hundred","total_boosters_per_hundred","daily_vaccinations_per_million","daily_people_vaccinated","daily_people_vaccinated_per_hundred","population","income_per_person","gdp","growth_gdp_per_capita","life_expectancy"
"Cambodia","khm","pays","asia",2021-11-14,2021,28231176,14051925,13203848,2028554,1000,27089,166.59,82.92,77.92,11.97,1599,12572,0.074,16946446,4344,73620827108,4.93,70.87
"Cameroon","cmr","pays","africa",2021-11-14,2021,NA,NA,NA,NA,NA,5800,NA,NA,NA,NA,213,4732,0.017,27224262,3482,94789307542,1.73,64.51
"Canada","can","pays","america_north",2021-11-14,2021,59497243,30003550,28674490,819203,28106,62629,156.29,78.82,75.32,2.15,1645,14045,0.037,38067913,47650,1813949801645,3.54,82.46
"Cape Verde","cpv","pays","africa",2021-11-14,2021,NA,NA,NA,NA,NA,1481,NA,NA,NA,NA,2636,134,0.024,561901,6368,3578314125,4.71,76.57
"Cayman Islands","cym","pays",NA,2021-11-14,2021,NA,NA,NA,NA,NA,366,NA,NA,NA,NA,5504,56,0.084,NA,NA,NA,NA,NA
"Central African Republic","caf","pays","africa",2021-11-14,2021,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,2,10,0,4919987,943,4639221714,2.98,53.63
"Chad","tcd","pays","africa",2021-11-14,2021,242251,175171,67080,NA,NA,1174,1.43,1.04,0.4,NA,69,709,0.004,16914985,1502,25408321423,-0.34,61.22
"Chile","chl","pays","america_south",2021-11-14,2021,39145741,16706972,15736705,7274699,3247,149602,203.75,86.96,81.91,37.86,7787,15074,0.078,19212362,24346,467746480632,2.76,80.28
"China","chn","pays","asia",2021-11-14,2021,2389568000,NA,NA,NA,7435000,8406000,165.46,NA,NA,NA,5820,2002548,0.139,1444216102,17744,25626456257369,5.33,77.87
"Colombia","col","pays","america_south",2021-11-14,2021,51821798,33376996,22940295,NA,NA,354253,101.08,65.11,44.75,NA,6910,264303,0.516,51265841,14043,719919723390,2.69,80.84
"Comoros","com","pays","africa",2021-11-14,2021,476350,278152,198198,NA,NA,2158,53.62,31.31,22.31,NA,2429,423,0.048,888456,2887,2564775335,-0.1,69.51
"Congo, Rep.","cog","pays","africa",2021-11-14,2021,NA,NA,NA,NA,NA,5891,NA,NA,NA,NA,1041,5738,0.101,5657017,3230,18271843761,-1.46,63.68
"Costa Rica","cri","pays","america_north",2021-11-14,2021,NA,NA,NA,NA,NA,20740,NA,NA,NA,NA,4036,4619,0.09,5139053,19417,99784881674,2.23,80.21
"Cote d'Ivoire","civ","pays","africa",2021-11-14,2021,3845788,2669432,1176366,NA,NA,52881,14.22,9.87,4.35,NA,1955,31113,0.115,27053629,5366,145172739790,3.77,63.99
