"name","geo","region","continent","date","year","total_vaccinations","people_vaccinated","people_fully_vaccinated","total_boosters","daily_vaccinations_raw","daily_vaccinations","total_vaccinations_per_hundred","people_vaccinated_per_hundred","people_fully_vaccinated_per_hundred","total_boosters_per_hundred","daily_vaccinations_per_million","daily_people_vaccinated","daily_people_vaccinated_per_hundred","population","income_per_person","gdp","growth_gdp_per_capita","life_expectancy"
"Slovenia","svn","pays","Europe",2021-12-16,2021,2787440,1240763,1176493,370184,9636,5770,134.09,59.69,56.6,17.81,2776,436,0.021,2078723,37825,78.628,4.2,81.71
"Solomon Islands","slb","pays","Asia",2021-12-13,2021,228912,176593,52319,NA,NA,1605,32.52,25.08,7.43,NA,2280,1159,0.165,703995,2477,1.743,2.25,69.1
"Somalia","som","pays","Africa",2021-12-09,2021,1147627,892093,664422,NA,NA,7046,7.02,5.45,4.06,NA,431,11652,0.071,16359500,673,11.013,0.29,59.83
"South Africa","zaf","pays","Africa",2021-12-15,2021,27400778,18600540,15532710,NA,102253,88448,45.64,30.98,25.87,NA,1473,63317,0.105,60041996,11626,698.032,0.44,67.43
"South America","south america","continent",NA,2021-12-16,2021,622663257,326031103,267966492,40485955,1303335,1610326,143.38,75.08,61.71,9.32,3708,324051,0.075,NA,NA,NA,NA,NA
"South Korea","kor","pays","Asia",2021-12-16,2021,93515220,43300593,41939065,9781164,1044228,744197,182.27,84.4,81.74,19.06,14505,56812,0.111,51305184,43897,2252.157,2.74,83.3
"South Sudan","ssd","pays","Africa",2021-12-15,2021,268640,227262,181577,NA,NA,1243,2.36,2,1.6,NA,109,876,0.008,11381377,1800,20.482,3.47,60.26
"Spain","esp","pays","Europe",2021-12-15,2021,82067448,38586398,37767016,10094293,372070,630535,175.56,82.55,80.79,21.59,13489,17230,0.037,46745211,38778,1812.676,4.25,83.58
"Sri Lanka","lka","pays","Asia",2021-12-16,2021,31634248,15962904,13801586,1869758,228013,118409,147.15,74.26,64.2,8.7,5508,1852,0.009,21497306,12957,278.54,3.47,78.14
"St. Kitts and Nevis","kna","pays","America North",2021-12-15,2021,53842,27436,25267,1139,NA,65,100.55,51.24,47.19,2.13,1214,12,0.022,53546,20653,1.106,8.89,NA
"St. Lucia","lca","pays","America North",2021-12-16,2021,103501,55278,48223,NA,211,138,56.13,29.98,26.15,NA,748,40,0.022,184401,12769,2.355,10.05,76.11
"St. Vincent and the Grenadines","vct","pays","America North",2021-12-10,2021,57295,32104,24175,NA,NA,224,51.49,28.85,21.73,NA,2013,69,0.062,111269,11928,1.327,4.84,72.78
"Sudan","sdn","pays","Africa",2021-12-15,2021,5251235,4016849,1234386,NA,NA,282083,11.69,8.94,2.75,NA,6281,176341,0.393,44909351,3638,163.378,-1.43,71.25
"Suriname","sur","pays","America South",2021-12-16,2021,485656,260304,225352,NA,NA,446,82.06,43.99,38.08,NA,754,140,0.024,591798,14060,8.321,0.32,72.51
"Swaziland","swz","pays","Africa",2021-12-14,2021,375012,320460,292063,NA,NA,4867,31.99,27.33,24.91,NA,4151,2886,0.246,1172369,8274,9.7,-0.18,62.69
"Sweden","swe","pays","Europe",2021-12-16,2021,16939544,7698670,7313144,1812156,100578,68909,166.73,75.77,71.98,17.84,6782,6959,0.068,10160159,51272,520.928,1.98,83.08
