"name","geo","continent","date","year","total_vaccinations","people_vaccinated","people_fully_vaccinated","total_boosters","daily_vaccinations_raw","daily_vaccinations","total_vaccinations_per_hundred","people_vaccinated_per_hundred","people_fully_vaccinated_per_hundred","total_boosters_per_hundred","daily_vaccinations_per_million","daily_people_vaccinated","daily_people_vaccinated_per_hundred","population","income_per_person","gdp","growth_gdp_per_capita","life_expectancy",".cluster"
"Pakistan","pak","Asia",2021-12-20,2021,142713705,89091860,61761440,NA,1204366,1127955,63.37,39.56,27.43,NA,5009,554822,0.246,225199929,4569,1029.01,2.06,67.48,"4"
"Palestine","pse","Asia",2021-12-06,2021,3184868,2020110,1403992,NA,NA,9115,60.98,38.68,26.88,NA,1745,4797,0.092,5222756,5578,29.135,4.53,77.51,"2"
"Panama","pan","America North",2021-12-20,2021,5725037,3020754,2455800,248483,37,5665,130.66,68.94,56.05,5.67,1293,708,0.016,4381583,28130,123.255,3.61,80,"3"
"Papua New Guinea","png","Asia",2021-12-20,2021,504018,283915,220103,NA,NA,774,5.53,3.11,2.41,NA,85,192,0.002,9119005,4156,37.9,2.11,59.34,"4"
"Paraguay","pry","America South",2021-12-17,2021,6489760,3444261,2871213,174286,NA,23589,89.89,47.71,39.77,2.41,3267,4241,0.059,7219641,12718,91.816,2.6,76.6,"2"
"Peru","per","America South",2021-12-18,2021,46515373,23860076,20472834,2182463,83300,196460,139.44,71.52,61.37,6.54,5889,66431,0.199,33359416,12146,405.188,4.12,81.23,"3"
"Philippines","phl","Asia",2021-12-20,2021,101656199,NA,44212255,1153103,748532,631251,91.54,NA,39.81,1.04,5685,NA,NA,111046910,8371,929.584,4.91,70.25,"2"
"Poland","pol","Europe",2021-12-20,2021,45724991,21424563,20861652,6001613,172729,188667,120.98,56.68,55.19,15.88,4992,32540,0.086,37797000,33477,1265.331,4.65,78.71,"3"
"Portugal","prt","Europe",2021-12-20,2021,18807005,9059512,9059512,2325024,56546,56448,184.96,89.1,89.1,22.87,5552,802,0.008,10167923,33626,341.902,5.01,82.2,"1"
"Qatar","qat","Asia",2021-12-20,2021,5118777,NA,NA,NA,4620,5945,174.67,NA,NA,NA,2029,NA,NA,2930524,89352,261.85,3.35,80.73,NA
"Romania","rou","Europe",2021-12-19,2021,15627797,NA,7726940,NA,20868,31054,81.7,NA,40.4,NA,1624,NA,NA,19127772,30683,586.903,4.81,75.7,"2"
"Russia","rus","Europe",2021-12-20,2021,140257423,71858958,63708591,5981515,95643,595741,96.12,49.25,43.66,4.1,4083,240831,0.165,145912022,27197,3968.311,3.83,72.81,"3"
"Rwanda","rwa","Africa",2021-12-15,2021,11030100,6847793,4182307,NA,NA,125701,83.08,51.58,31.5,NA,9468,73824,0.556,13276517,2248,29.844,4.45,69.74,"2"
"Samoa","wsm","Asia",2021-12-20,2021,263189,141424,121765,NA,NA,42,131.5,70.66,60.84,NA,210,10,0.005,200144,5721,1.145,0.82,73.4,"2"
"San Marino","smr","Europe",2021-12-12,2021,52043,24282,21623,NA,NA,482,153.02,71.4,63.58,NA,14172,14,0.041,34010,56609,1.925,3.06,NA,NA
"Sao Tome and Principe","stp","Africa",2021-12-13,2021,137612,86396,51216,NA,NA,848,61.61,38.68,22.93,NA,3796,175,0.078,223364,3651,0.816,3.15,67.67,"4"
"Saudi Arabia","sau","Asia",2021-12-20,2021,48475448,24887008,22958830,NA,93856,52996,137.17,70.42,64.96,NA,1500,13691,0.039,35340680,44534,1573.878,1.99,77.43,"1"
"Senegal","sen","Africa",2021-12-15,2021,2269383,1328153,941230,NA,NA,29174,13.2,7.72,5.47,NA,1697,0,0,17196308,3408,58.608,3.16,69.16,"4"
"Serbia","srb","Europe",2021-12-14,2021,8099998,3291994,3172131,1635856,NA,11905,117.88,47.91,46.16,23.81,1733,1623,0.024,8697547,19227,167.232,4.92,76.31,"2"
"Seychelles","syc","Africa",2021-12-17,2021,183332,82323,78238,NA,NA,61,185.35,83.23,79.1,NA,617,29,0.029,98910,25346,2.507,3.33,73.92,"3"
"Sierra Leone","sle","Africa",2021-12-08,2021,923880,747044,385232,NA,NA,4596,11.35,9.18,4.73,NA,565,3651,0.045,8141343,1658,13.501,1.38,62.14,"4"
"Singapore","sgp","Asia",2021-12-03,2021,9489264,4744632,4744632,NA,NA,53,174,87,87,NA,10,36,0.001,5896684,94610,557.883,2.04,85.42,"1"
"Slovak Republic","svk","Europe",2021-12-20,2021,5871139,2702120,2395364,773655,410,21715,107.52,49.48,43.87,14.17,3977,1941,0.036,5460726,31634,172.742,4.31,78.01,"3"
"Slovenia","svn","Europe",2021-12-19,2021,2805830,1242137,1179177,384516,7636,6884,134.98,59.75,56.73,18.5,3312,523,0.025,2078723,37825,78.628,4.2,81.71,"1"
"Solomon Islands","slb","Asia",2021-12-20,2021,235918,179973,55945,NA,NA,1001,33.51,25.56,7.95,NA,1422,483,0.069,703995,2477,1.743,2.25,69.1,"4"
"Somalia","som","Africa",2021-12-20,2021,1369400,1088665,745600,NA,NA,20161,8.37,6.65,4.56,NA,1232,17870,0.109,16359500,673,11.013,0.29,59.83,"4"
"South Africa","zaf","Africa",2021-12-19,2021,27513878,18674488,15599136,NA,NA,60415,45.82,31.1,25.98,NA,1006,42113,0.07,60041996,11626,698.032,0.44,67.43,"4"
"South Korea","kor","Asia",2021-12-20,2021,96622863,43620898,42131332,12377850,978684,872052,188.33,85.02,82.12,24.13,16997,77978,0.152,51305184,43897,2252.157,2.74,83.3,"1"
"South Sudan","ssd","Africa",2021-12-15,2021,268640,227262,181577,NA,NA,1243,2.36,2,1.6,NA,109,876,0.008,11381377,1800,20.482,3.47,60.26,"4"
"Spain","esp","Europe",2021-12-19,2021,83502561,39010695,37791863,11071984,NA,407907,178.63,83.45,80.85,23.69,8726,70857,0.152,46745211,38778,1812.676,4.25,83.58,"1"
"Sri Lanka","lka","Asia",2021-12-20,2021,32284106,15968147,13810482,2505477,76091,175676,150.18,74.28,64.24,11.65,8172,1673,0.008,21497306,12957,278.54,3.47,78.14,"3"
"St. Kitts and Nevis","kna","America North",2021-12-17,2021,54077,27484,25359,1234,NA,84,100.99,51.33,47.36,2.3,1569,18,0.034,53546,20653,1.106,8.89,NA,NA
"St. Lucia","lca","America North",2021-12-20,2021,103960,55387,48573,NA,158,130,56.38,30.04,26.34,NA,705,33,0.018,184401,12769,2.355,10.05,76.11,"2"
"St. Vincent and the Grenadines","vct","America North",2021-12-16,2021,59702,33192,25261,NA,NA,366,53.66,29.83,22.7,NA,3289,161,0.145,111269,11928,1.327,4.84,72.78,"2"
"Sudan","sdn","Africa",2021-12-15,2021,5251235,4016849,1234386,NA,NA,282083,11.69,8.94,2.75,NA,6281,176341,0.393,44909351,3638,163.378,-1.43,71.25,"4"
"Suriname","sur","America South",2021-12-16,2021,485656,260304,225352,NA,NA,446,82.06,43.99,38.08,NA,754,140,0.024,591798,14060,8.321,0.32,72.51,"2"
"Swaziland","swz","Africa",2021-12-16,2021,385304,326455,295361,NA,NA,5132,32.87,27.85,25.19,NA,4377,2974,0.254,1172369,8274,9.7,-0.18,62.69,"4"
"Sweden","swe","Europe",2021-12-17,2021,17049272,7707313,7326603,2015251,109728,66426,167.81,75.86,72.11,19.83,6538,6346,0.062,10160159,51272,520.928,1.98,83.08,"1"
"Switzerland","che","Europe",2021-12-19,2021,13136551,5939717,5790576,1550909,23000,69153,150.73,68.15,66.44,17.79,7934,4111,0.047,8715494,67374,587.199,1.58,84.55,"1"
"Syria","syr","Asia",2021-12-19,2021,1737980,1186091,774866,NA,NA,27058,9.51,6.49,4.24,NA,1481,26164,0.143,18275704,3984,72.803,1.68,73.34,"4"
"Taiwan","twn","Asia",2021-12-20,2021,34033524,18616700,15416824,64155,60643,60813,142.67,78.04,64.63,0.27,2549,16149,0.068,23855008,57024,1360.312,2.98,80.63,"1"
"Tajikistan","tjk","Asia",2021-12-12,2021,5950710,4374694,3206282,NA,NA,34239,61.04,44.87,32.89,NA,3512,179498,1.841,9749625,3568,34.791,2.59,71.17,"2"
"Tanzania","tza","Africa",2021-12-06,2021,1699523,1592897,1078102,NA,NA,25891,2.76,2.59,1.75,NA,421,14452,0.023,61498438,2602,160.008,1.59,68.41,"4"
"Thailand","tha","Asia",2021-12-18,2021,99385119,50438629,44194781,4751709,NA,315399,142.08,72.11,63.18,6.79,4509,82705,0.118,69950844,17698,1237.997,5.45,78.96,"3"
"Timor-Leste","tls","Asia",2021-12-07,2021,1142003,652294,489709,NA,NA,4254,84.98,48.54,36.44,NA,3165,778,0.058,1343875,2904,3.902,1.68,71.74,"2"
"Togo","tgo","Africa",2021-12-17,2021,2294900,1366662,928238,NA,NA,19378,27.07,16.12,10.95,NA,2286,2496,0.029,8478242,1585,13.435,1.98,65.61,"4"
"Tonga","ton","Asia",2021-12-20,2021,130236,73609,56627,NA,NA,764,121.99,68.95,53.04,NA,7156,22,0.021,106759,6212,0.663,2.63,72.21,"2"
"Trinidad and Tobago","tto","America North",2021-12-20,2021,1372208,703289,660103,55829,913,3430,97.78,50.11,47.04,3.98,2444,609,0.043,1403374,24421,34.272,3.58,74.75,"2"
